folder_id,folder_title,bab_id,bab_title,id,type_ui,scene,q,choice_a,choice_b,choice_c,choice_d,answer,answer_value,answer_tolerance,items,answer_order,skill,difficulty,type,correct,wrong,clue
kantin-pelangi,Misteri Kantin Pelangi,bab-1,Bab 1 — Antrian Kantin,q1-1,mcq,Pagi hari kantin Pelangi ramai. Resep Es Pelangi hilang dari papan menu.,Di antrian ada 8 siswa kelas 2 dan 7 siswa kelas 3. Berapa siswa di antrian?,14,15,16,17,B,,,,,Penjumlahan,Mudah,analyst,8 + 7 = 15 siswa.,Kurang 1.|Benar 15.|Kelebihan 1.|Terlalu banyak.,Hitung semua anak di barisan.
kantin-pelangi,Misteri Kantin Pelangi,bab-1,Bab 1 — Antrian Kantin,q1-2,mcq,Bu Rina menghitung nampan yang sudah diambil.,Ada 20 nampan. 6 sudah dipakai. Berapa nampan yang masih kosong?,12,14,16,26,B,,,,,Pengurangan,Mudah,investigator,20 − 6 = 14 nampan kosong.,Terlalu kecil.|Benar 14.|Kelebihan.|Itu malah ditambah.,Kurangkan yang sudah dipakai.
kantin-pelangi,Misteri Kantin Pelangi,bab-1,Bab 1 — Antrian Kantin,q1-3,mcq,Luna menghitung gelas di rak.,"Rak kiri 9 gelas, rak kanan 5 gelas. Berapa selisihnya?",3,4,5,14,B,,,,,Pengurangan,Mudah,speedster,9 − 5 = 4. Selisih artinya dikurang.,"Kurang.|Benar 4.|Itu rak kanan.|Itu jumlah, bukan selisih.","Selisih = dikurang, bukan dijumlah."
kantin-pelangi,Misteri Kantin Pelangi,bab-1,Bab 1 — Antrian Kantin,q1-4,mcq,Ada 3 meja. Tiap meja 4 kursi.,Berapa kursi seluruhnya?,7,10,12,14,C,,,,,Perkalian,Mudah,explorer,3 × 4 = 12 kursi.,Itu dijumlah 3+4.|Hampir.|Benar 12.|Terlalu banyak.,Kelompok sama: 4 + 4 + 4.
kantin-pelangi,Misteri Kantin Pelangi,bab-1,Bab 1 — Antrian Kantin,q1-5,numeric,Di pintu kantin tertulis kode angka.,12 + 8 − 5 = ? (tulis angkanya saja),,,,,,15,0,,,Penjumlahan dan pengurangan,Sedang,codebreaker,"12 + 8 = 20, lalu 20 − 5 = 15.",,Kode pertama ketemu di antrian.
kantin-pelangi,Misteri Kantin Pelangi,bab-2,Bab 2 — Uang Jajan,q2-1,mcq,Luna bawa uang Rp2.000. Roti isi Rp1.000.,Berapa kembalian Luna?,Rp500,Rp1.000,Rp1.500,Rp3.000,B,,,,,Uang,Mudah,analyst,2.000 − 1.000 = 1.000.,Terlalu kecil.|Benar Rp1.000.|Hampir.|Itu jumlah uangnya.,Kembalian = uang dibayar dikurangi harga.
kantin-pelangi,Misteri Kantin Pelangi,bab-2,Bab 2 — Uang Jajan,q2-2,mcq,Es Pelangi harganya Rp3.000. Luna punya 2 lembar Rp1.000 dan 2 koin Rp500.,"Uang Luna cukup tidak? Kalau dijumlah, berapa total uangnya?",Rp2.000,Rp2.500,Rp3.000,Rp4.000,C,,,,,Uang,Sedang,investigator,1.000 + 1.000 + 500 + 500 = 3.000. Pas!,Kurang.|Masih kurang 500.|Pas Rp3.000.|Terlalu banyak.,Jumlahkan semua lembar dan koin.
kantin-pelangi,Misteri Kantin Pelangi,bab-2,Bab 2 — Uang Jajan,q2-3,mcq,Bu Rina jual 5 kue. Tiap kue Rp2.000.,Berapa uang yang terkumpul?,Rp7.000,Rp8.000,Rp10.000,Rp12.000,C,,,,,Perkalian uang,Sedang,explorer,5 × 2.000 = 10.000.,5+2000.|Hampir.|Benar 10.000.|Terlalu besar.,Lima kelompok dua ribu.
kantin-pelangi,Misteri Kantin Pelangi,bab-2,Bab 2 — Uang Jajan,q2-4,numeric,Mesin kasir minta angka tanpa titik.,Luna bayar Rp5.000. Belanja Rp3.500. Kembalian berapa rupiah?,,,,,,1500,0,,,Uang,Sedang,codebreaker,5.000 − 3.500 = 1.500. Tulis 1500 tanpa titik.,,Tulis angka polos: 1500.
kantin-pelangi,Misteri Kantin Pelangi,bab-2,Bab 2 — Uang Jajan,q2-5,mcq,Harga susu Rp4.000. Harga pisang Rp1.000.,Berapa harga keduanya?,Rp3.000,Rp4.000,Rp5.000,Rp6.000,C,,,,,Penjumlahan uang,Mudah,analyst,4.000 + 1.000 = 5.000.,Itu selisih.|Hanya susu.|Benar 5.000.|Terlalu besar.,Jumlahkan dua harga.
kantin-pelangi,Misteri Kantin Pelangi,bab-3,Bab 3 — Kotak Bekal Ajaib,q3-1,mcq,"Di kotak bekal ada pola stiker: 2, 4, 6, 8, …",Angka berikutnya?,9,10,12,14,B,,,,,Pola,Mudah,codebreaker,Pola loncat 2. Setelah 8 adalah 10.,Loncat 1.|Benar 10.|Loncat 4.|Terlalu jauh.,Tiap kali tambah 2.
kantin-pelangi,Misteri Kantin Pelangi,bab-3,Bab 3 — Kotak Bekal Ajaib,q3-2,mcq,"Pola lain di tutup kotak: 5, 10, 15, 20, …",Angka berikutnya?,21,24,25,30,C,,,,,Pola,Mudah,speedster,Loncat 5. Setelah 20 adalah 25.,Loncat 1.|Loncat 4.|Benar 25.|Loncat 10.,Ini kelipatan 5.
kantin-pelangi,Misteri Kantin Pelangi,bab-3,Bab 3 — Kotak Bekal Ajaib,q3-3,mcq,Ada 10 sendok. Tiap 2 sendok dibungkus.,Berapa bungkusan?,4,5,6,8,B,,,,,Pembagian,Sedang,investigator,10 ÷ 2 = 5 bungkusan.,Kurang.|Benar 5.|Kelebihan.|Terlalu banyak.,Berapa kelompok 2 di dalam 10?
kantin-pelangi,Misteri Kantin Pelangi,bab-3,Bab 3 — Kotak Bekal Ajaib,q3-4,order,Kertas resep sobek. Angka harus diurutkan dari yang terkecil.,Urutkan dari kecil ke besar.,,,,,,,,12|19|24|31,0|1|2|3,Membandingkan bilangan,Mudah,explorer,"12, lalu 19, 24, 31.",,"Angka kecil dulu, besar kemudian."
kantin-pelangi,Misteri Kantin Pelangi,bab-3,Bab 3 — Kotak Bekal Ajaib,q3-5,mcq,"Di dalam kotak: 4 baris permen, tiap baris 5 permen.",Berapa permen seluruhnya?,9,15,20,25,C,,,,,Perkalian,Sedang,analyst,4 × 5 = 20 permen.,4+5.|Hampir 3×5.|Benar 20.|Itu 5×5.,Baris kali isi tiap baris.
kantin-pelangi,Misteri Kantin Pelangi,bab-4,Bab 4 — Papan Resep Rahasia,q4-1,mcq,Jam dinding kantin menunjukkan pukul 9. Pesta kelas mulai 2 jam lagi.,Pukul berapa pesta mulai?,Pukul 10,Pukul 11,Pukul 12,Pukul 7,B,,,,,Waktu,Mudah,explorer,9 + 2 = pukul 11.,Tambah 1 jam.|Benar pukul 11.|Tambah 3 jam.|Dikurangi.,Majukan jarum 2 jam.
kantin-pelangi,Misteri Kantin Pelangi,bab-4,Bab 4 — Papan Resep Rahasia,q4-2,mcq,Angka di papan: 47 dan 74.,Manakah yang lebih besar?,47,74,Sama besar,0,B,,,,,Nilai tempat,Mudah,investigator,74 lebih besar. 7 puluhan lebih dari 4 puluhan.,47 lebih kecil.|Benar 74.|Tidak sama.|Bukan nol.,Lihat puluhannya dulu.
kantin-pelangi,Misteri Kantin Pelangi,bab-4,Bab 4 — Papan Resep Rahasia,q4-3,mcq,Ubin lantai berbentuk persegi. Satu sisi 3 ubin.,Berapa ubin mengelilingi satu persegi? (keliling),6,9,12,16,C,,,,,Geometri,Sedang,analyst,Keliling persegi = 4 × 3 = 12.,2×3.|3×3.|Benar 12.|4×4.,Empat sisi yang sama.
kantin-pelangi,Misteri Kantin Pelangi,bab-4,Bab 4 — Papan Resep Rahasia,q4-4,numeric,Kode terakhir di papan.,10 + 10 + 10 = ?,,,,,,30,0,,,Penjumlahan berulang,Mudah,speedster,10 tiga kali = 30. Atau 3 × 10 = 30.,,Tiga kelompok sepuluh.
kantin-pelangi,Misteri Kantin Pelangi,bab-4,Bab 4 — Papan Resep Rahasia,q4-5,order,Resep ketemu! Susun langkah membuat Es Pelangi dari awal.,Urutkan langkahnya.,,,,,,,,cuci gelas|tuang susu|tambah es|tabur pelangi,0|1|2|3,Urutan,Mudah,explorer,"Cuci dulu, lalu susu, es, terakhir tabur pelangi.",,Resep Es Pelangi kembali ke papan menu!
